date,price,open,high,low,volume,change_percent
Sep 13 2009,293.21,276.30,296.16,276.30,39.06M,4.27%
Sep 06 2009,281.20,274.70,282.13,269.99,42.02M,3.01%
Aug 30 2009,272.97,268.58,274.83,262.92,52.74M,0.47%
Aug 23 2009,271.68,255.47,273.34,252.38,48.79M,7.75%
Aug 16 2009,252.14,251.15,253.62,239.98,43.82M,-0.45%
Aug 09 2009,253.29,254.24,262.30,247.54,45.30M,0.13%
Aug 02 2009,252.96,255.98,261.31,250.64,51.26M,-1.20%
Jul 26 2009,256.02,248.04,257.84,241.12,77.34M,3.03%
Jul 19 2009,248.49,231.93,250.15,231.93,81.24M,7.36%
Jul 12 2009,231.46,212.42,232.41,210.97,57.44M,8.43%
Jul 05 2009,213.46,224.48,225.64,206.49,70.39M,-4.65%
Jun 28 2009,223.87,230.66,256.72,216.74,44.06M,-1.20%
Jun 21 2009,226.60,220.78,228.20,210.96,58.42M,3.21%
Jun 14 2009,219.56,213.92,221.39,207.90,67.29M,2.43%
Jun 07 2009,214.36,210.59,228.74,209.84,71.61M,1.74%
May 31 2009,210.70,200.33,212.69,198.56,64.87M,5.85%
May 24 2009,199.06,189.75,202.03,184.86,66.79M,5.44%
May 17 2009,188.79,211.45,236.99,184.18,106.51M,-4.43%
May 10 2009,197.54,188.51,199.30,185.06,45.10M,4.74%
May 03 2009,188.60,188.52,202.88,186.18,80.40M,0.76%
Apr 26 2009,187.18,179.57,188.22,175.49,34.49M,4.19%
Apr 19 2009,179.65,171.77,181.03,168.05,57.17M,3.67%
Apr 12 2009,173.29,177.97,181.93,161.24,114.28M,-2.08%
Apr 05 2009,176.98,178.99,182.18,168.23,48.72M,0.54%
Mar 29 2009,176.03,163.71,177.97,156.97,53.33M,5.54%
Mar 22 2009,166.79,161.25,173.27,160.63,76.73M,3.76%
Mar 15 2009,160.75,161.60,164.13,155.89,60.99M,-0.07%
Mar 08 2009,160.86,149.46,161.22,147.60,41.03M,6.37%
Mar 01 2009,151.22,151.06,153.54,142.81,46.50M,-0.97%
Feb 22 2009,152.70,143.24,153.78,142.06,48.23M,4.60%
Feb 15 2009,145.99,156.26,156.26,138.33,55.53M,-5.95%
Feb 08 2009,155.23,157.26,164.33,154.29,55.97M,-2.89%
Feb 01 2009,159.85,160.23,161.99,153.47,72.13M,-1.36%
Jan 25 2009,162.05,151.18,163.58,150.68,55.33M,8.47%
Jan 18 2009,149.40,157.13,157.85,147.65,42.69M,-4.95%
Jan 11 2009,157.18,142.83,162.96,138.78,154.85M,5.31%
Jan 04 2009,149.25,141.38,157.08,141.35,85.53M,6.30%
Dec 28 2008,140.40,137.67,144.48,132.08,46.41M,2.06%
Dec 21 2008,137.57,148.82,151.58,137.04,36.29M,-6.88%
Dec 14 2008,147.74,138.90,148.82,134.57,72.27M,7.82%
Dec 07 2008,137.02,143.27,149.65,133.59,75.68M,-2.62%
